text	rating	language	title
"Degelijke onlinebank. Goede app en zelfs ""persoonlijke"" service als je vragen hebt?"	4	nl	Degelijke onlinebank
Ze komen hun beloftes niet na, inloggen op de rekening is heel moeilijk, Geld komt moeilijk op de rekening, ... Geen aanrader	2	nl	Geen goede bank
"Suis satisfait de cette banque dans l'ensemble car tout est gratuit ce qui est rare de nos jours.
Ce qu'il manque pour que tout soit parfait ce sont les virements instantanés ( à quand ?), la possibilité de verser de l'argent sur son compte ( via les points cash de Batopin) et l'utilisation de Google Wallet. "	4	fr	Satisfait à 75%
Bonjour. Pour moi, c'est une expérience qui dure maintenant depuis pas mal de temps. Je suis très satisfait du fonctionnement et de la sécurité de KEYTRADE. J'espère que cela va encore continuer longtemps. RD.	5	fr	Toujours satisfait.
"Plusieurs opérations importantes ont été exécutées, mais avec une durée de transfert relativement longue.
La dernière en date 13 janvier 2025 a semble-t-il été exécutée sur papier (heureusement que j'imprime tout immédiatement). Mais le lendemain; compte bloqué, alors qu'il reste encore des fonds sur le compte.
Impossible de vérifier puisque l'accès est bloqué !
Je téléphone à BXL  au 02 679 90 00. 15 min d'attente avec leur ""petite musique"". Enfin quelqu'un, qui me pose plein de questions de vérifications d'identité, pour finir par me dire qu'il ne peut rien faire sauf envoyé un message à un autre service!!! Merci leur service à la clientèle !!!"	2	fr	Compte et carte bloqués sans raison et sans prévenir!
"Na jaren zelf (tevreden) klant adviseer ik mijn (meerderjarige) dochter klant te worden. Ik geef haar aan hoe ze dat moet doen.

Na aanmaak rekening werkt de beursrekening niet.
Dan maar bellen met customer service. 
Reden: 1 werkdag tijd nodig voordat beursrekening werkt. geen showstopper, maar waarom wordt dat niet gewoon even aan nieuwe klant melden dan (zodat die niet 10' in wacht moet staan bij bellen)?

Nu dat opgelost wil ze vandaag ordertje plaatsen via app.  Dat blijkt niet te gaan want krijgen foutmelding.
Dan maar terug bellen met customer service.
Ze moet eerst kennis-test doen. Vandaar de foutmelding. Logisch die test, maar waarom niet even aan klant duidelijk maken via een bericht of popup?  Moeten dat weer zelf achterhalen? 

Dochter doet kennistest en die moet ze digitaal ondertekenen. Weer foutmelding.  Dus weer opnieuw customer service bellen.  Ik luister mee en probeer haar te helpen met de applicatie/ondertekening.  Blijken de app te moeten sluiten op telefoon (waarmee we bellen) want anders kunnen we digitaal niet tekenen. Mijn dochter begrijpt niet meteen wat de beste man bedoelt met zijn cryptische uitleg. Als ik aangeef dat het technisch niet zo duidelijk voor ons is, dan meldt de beste man dat hij het telefoontje meteen zal eindigen als ik mijn mond niet houd.. Ik begrijp waarom dit vanuit bescherming/veiligheid zo werkt. Maar mijn dochter kan niet verder met zijn complexe technische uitleg. En haar stap per stap even rustig begeleiden zit er precies vanavond niet bij hem in. Ik mag hem geen vragen stellen en houd dus mijn mond. Het wordt dus stil.. We houden het voor bekeken en eindigen de call. Na 3x customer service op 2 dagen geeft een nieuwe klant het op. Jammer.  We proberen het op een fris moment dan nog maar eens opnieuw te bekijken met haar. Wat een drama qua (new) client experience.  

"	2	nl	Ervaring als nieuwe klant
Banque d'investissement en dessous de tout...! Problèmes réguliers... cours en temps réels... décalés ou .. indisponibles... Datas sociétés /analyses... euhhh... folklorique! Il suffit de regarder/comparer (avec d'autres sites ... sérieux!) les objectifs de cours affichés pour s'en rendre compte...	2	fr	Banque d'investissement en dessous de…
Zeer moeilijke communicatie, bijna geen nederlands. Moeilijke KYC, hoge kosten, onvriendelijke mensen.  	1	nl	Zeer moeilijke communicatie
"Le meilleur rapport qualité / prix d'une banque en Belgique pour les opérations quotidiennes.
De plus, la banque paie le client 0,05 € par opération !
Site Web et App très faciles d'utilisation.
Pour les produits de placement, aucun conseil n'est donné au client. Donc, cela ne peut convenir qu'aux investisseurs autonomes."	4	fr	Très bonne banque (et la moins chère).
Jamais des problemes!	5	fr	Jamais des problemes!
